Country Name,Country Code,"2017 [YR2017] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2017 [YR2017] - GDP per capita (current US$) [NY.GDP.PCAP.CD],2017 [YR2017] - Adjusted savings: education expenditure (% of GNI) [NY.ADJ.AEDU.GN.ZS]
Afghanistan,AFG,64.13,556.302138508508,2.58346697515129
Albania,ALB,78.333,4532.88919785143,3.56614561464118
Algeria,DZA,76.499,4048.28525822561,4.4671956
American Samoa,ASM,..,11398.7774181949,11.760709
Andorra,AND,..,39134.3933706717,2.44
Angola,AGO,60.379,4095.81294155857,3.57
Antigua and Barbuda,ATG,76.752,15824.6678131824,2.25
Argentina,ARG,76.372,14591.8633810541,5.0798502823842
Armenia,ARM,74.797,3914.5012684128,2.44962342770082
Aruba,ABW,76.01,25630.2664922069,6.79393890520161
Australia,AUS,82.4975609756098,54093.6021908944,5.02569397199148
Austria,AUT,81.6414634146342,47380.8296365374,5.20821584697537
Azerbaijan,AZE,72.693,4147.08971569171,3.04728063823981
"Bahamas, The",BHS,73.554,31857.890145929,3.8356
Bahrain,BHR,77.032,23715.4827473156,2.91
Bangladesh,BGD,72.052,1563.99408178663,1.24455028186433
Barbados,BRB,78.981,16327.6072290756,4.67318799991905
Belarus,BLR,74.1292682926829,5761.74712023007,4.72719716085529
Belgium,BEL,81.4390243902439,43507.2382031326,6.26336869911248
Belize,BLZ,74.365,4956.8080389814,6.39
Benin,BEN,61.174,827.429810110093,4.0262740133652
Bermuda,BMU,81.4419512195122,..,2.1
Bhutan,BTN,71.129,3390.71407484432,6.82772611051388
Bolivia,BOL,70.945,3351.12405268555,6.08
Bosnia and Herzegovina,BIH,77.128,5394.59122017677,..
Botswana,BWA,68.812,7893.67593323318,9.48
Brazil,BRA,75.456,9880.94654326324,6.13085805752318
British Virgin Islands,VGB,..,..,..
Brunei Darussalam,BRN,75.585,28572.1094155048,3.99012735468281
Bulgaria,BGR,74.8121951219512,8228.0115697265,3.85046174610092
Burkina Faso,BFA,60.768,642.040426480339,4.31
Burundi,BDI,60.898,293.009061990821,5.17552163934371
Cabo Verde,CPV,72.57,3295.34110553408,5.30225483706793
Cambodia,KHM,69.289,1385.2599796333,2.00417583665778
Cameroon,CMR,58.511,1421.58749243688,2.68
Canada,CAN,82.2489756097561,45069.9272544324,4.93
Cayman Islands,CYM,..,56334.2139924148,..
Central African Republic,CAF,52.24,471.603227780125,1.15
Chad,TCD,53.712,664.303315726258,1.76559843813365
Channel Islands,CHI,82.766,..,..
Chile,CHL,79.909,15037.3501089968,4.57
China,CHN,76.47,8759.04157775098,1.79
Colombia,COL,76.925,6375.93206285311,3.43807972153788
Comoros,COM,63.912,1312.36617372154,4.32753822778434
"Congo, Dem. Rep.",COD,60.026,467.07423746454,2.06
"Congo, Rep.",COG,63.954,1702.571349341,2.52
Costa Rica,CRI,79.914,11752.5436017285,7.4904765696434
Cote d'Ivoire,CIV,57.017,1557.18294760465,4.68782252141213
Croatia,HRV,77.8268292682927,13383.6834974431,4.50599016634406
Cuba,CUB,78.662,8541.2106734664,13.01
Curacao,CUW,78.0170731707317,19457.5315232205,..
Cyprus,CYP,80.672,25760.7627043417,6.03770735397155
Czech Republic,CZE,79.4756097560976,20379.8960396417,5.73207592681736
Denmark,DNK,81.0048780487805,57218.8548516791,6.89503347515119
Djibouti,DJI,65.893,1953.9035019746,7.43194220799754
Dominica,DMA,..,6951.30354219987,5
Dominican Republic,DOM,73.689,7222.55404357246,2.51925224689344
Ecuador,ECU,76.584,6213.50127649921,3.93
"Egypt, Arab Rep.",EGY,71.656,2440.51017311107,4.4111256
El Salvador,SLV,72.872,3902.23762163591,3.79244013801384
Equatorial Guinea,GNQ,58.061,9738.43422416926,1
Eritrea,ERI,65.538,..,1.72
Estonia,EST,77.6414634146342,20200.3755920409,4.88682714998714
Eswatini,SWZ,58.319,3941.90045658669,6.79075095823497
Ethiopia,ETH,65.872,768.010416339934,3.07445542138199
Faroe Islands,FRO,82.4,..,..
Fiji,FJI,67.252,6006.36062164463,3.9550818121829
Finland,FIN,81.4292682926829,45809.9733841366,6.409666691232
France,FRA,82.5243902439024,38679.1271482419,4.93540653407537
French Polynesia,PYF,77.251,..,0.499851816078
Gabon,GAB,65.839,7212.53574430676,3.06
"Gambia, The",GMB,61.44,672.780534143022,2.66
Georgia,GEO,73.414,4045.41704955757,1.76
Germany,DEU,80.990243902439,44681.0825806359,4.39415862658896
Ghana,GHA,63.463,2025.88585736016,5.81799798072703
Gibraltar,GIB,..,..,..
Greece,GRC,81.3878048780488,18883.4600669282,3.1
Greenland,GRL,..,..,..
Grenada,GRD,72.388,10163.6298527725,3.75
Guam,GUM,79.631,35664.5016770046,8.3161306
Guatemala,GTM,73.81,4470.61079849788,2.72109257190677
Guinea,GIN,60.706,821.651460927645,1.94968619237057
Guinea-Bissau,GNB,57.673,736.725566231783,1.16
Guyana,GUY,69.624,4586.05457171312,2.92
Haiti,HTI,63.29,765.61398474258,1.461652
Honduras,HND,74.898,2432.9353638196,6.33
